Entity,Code,Year,Mean male height (cm),Mean female height (cm),World region according to OWID,time
Comoros,COM,1996,166.1943222,155.5820799,Africa,2023
Congo,COG,1996,167.4476256,157.5742041,Africa,2023
Cook Islands,COK,1996,174.7678264,163.1852466,Oceania,2023
Costa Rica,CRI,1996,168.9318804,156.3662442,North America,2023
Cote d'Ivoire,CIV,1996,166.5328825,158.0654133,Africa,2023
Croatia,HRV,1996,180.7818566,165.6314308,Europe,2023
Cuba,CUB,1996,171.9961297,157.982959,North America,2023
Cyprus,CYP,1996,174.9948378,162.274366,Europe,2023
Czechia,CZE,1996,180.1037446,168.4577837,Europe,2023
Democratic Republic of Congo,COD,1996,166.7952777,155.249412,Africa,2023
Denmark,DNK,1996,181.3850802,167.2137607,Europe,2023
Djibouti,DJI,1996,166.5732512,156.1137802,Africa,2023
Dominica,DMA,1996,176.3131916,164.3433887,North America,2023
Dominican Republic,DOM,1996,172.7469432,159.027605,North America,2023
East Asia and Pacific,,1996,169.2129,157.6193,,1996
East Timor,TLS,1996,159.7905503,151.1508345,Asia,2023
Ecuador,ECU,1996,167.076619,154.2335466,South America,2023
Egypt,EGY,1996,166.6840579,157.326818,Africa,2023
El Salvador,SLV,1996,169.7711093,154.5488364,North America,2023
Equatorial Guinea,GNQ,1996,167.3621474,157.3263437,Africa,2023
Eritrea,ERI,1996,168.3564492,156.386645,Africa,2023
Estonia,EST,1996,181.5934781,168.6727153,Europe,2023
Eswatini,SWZ,1996,168.1315991,158.635578,Africa,2023
Ethiopia,ETH,1996,166.2315083,155.7102338,Africa,2023
Europe and Central Asia,,1996,177.2165,164.1035,,1996
Fiji,FJI,1996,173.9016453,161.6929253,Oceania,2023
Finland,FIN,1996,179.5909033,165.8977048,Europe,2023
France,FRA,1996,179.7379129,164.8815932,Europe,2023
French Polynesia,PYF,1996,177.4094044,164.5160304,Oceania,2023
Gabon,GAB,1996,167.9359895,158.8364866,Africa,2023
Gambia,GMB,1996,165.401738,160.9349588,Africa,2023
Georgia,GEO,1996,174.3410018,162.9846123,Asia,2023
Germany,DEU,1996,179.8811774,165.8635947,Europe,2023
Ghana,GHA,1996,168.8493553,157.9096124,Africa,2023
Greece,GRC,1996,177.3160349,164.8744011,Europe,2023
Greenland,GRL,1996,174.8661197,161.546615,North America,2023
Grenada,GRD,1996,176.9666751,164.51315,North America,2023
Guatemala,GTM,1996,163.4083889,149.3886728,North America,2023
Guinea,GIN,1996,167.5446232,157.8016209,Africa,2023
Guinea-Bissau,GNB,1996,167.8983809,158.2362631,Africa,2023
Guyana,GUY,1996,170.2102541,157.917772,South America,2023
Haiti,HTI,1996,172.6377544,158.7153844,North America,2023
Honduras,HND,1996,166.3933792,153.8415634,North America,2023
Hong Kong,HKG,1996,173.6138509,159.0254026,Asia,2023
Hungary,HUN,1996,177.264876,163.6605581,Europe,2023
Iceland,ISL,1996,180.49156,165.9463555,Europe,2023
India,IND,1996,164.9458981,152.589635,Asia,2023
Indonesia,IDN,1996,163.5516538,152.7990437,Asia,2023
Iran,IRN,1996,173.5713082,159.6668765,Asia,2023
Iraq,IRQ,1996,170.4300961,158.6735735,Asia,2023
Ireland,IRL,1996,178.9251638,165.1137476,Europe,2023
Israel,ISR,1996,176.859217,161.8040824,Asia,2023
Italy,ITA,1996,177.7676279,164.6091934,Europe,2023
